"Region","World Bank Classification","HBV Status","Total Population (2020)","Adult Population (2020)","Prevalent cases","Prevalence","Diagnosed","Treated","Annual deaths","Birth Dose Coverage","3+ Dose Coverage","HBIG Coverage","Tx of Pregnant Women"
"Afghanistan","Low income","Polaris Estimate","38,972,230","19,076,439","910,000","3%","1%","0%","1,400","20%","81%","0%","0%"
"Albania","Upper middle income","Verified","2,866,849","2,279,895","201,968","7%","4%","0%","620","99%","99%","20%","0%"
"Algeria","Lower middle income","Polaris Estimate","43,451,666","28,265,156","607,452","2%","6%","1%","1,700","99%","95%","0%","0%"
"Angola","Lower middle income","Polaris Estimate","33,428,486","16,132,426","2,930,909","10%","0%","0%","4,800","0%","80%","0%","0%"
"Argentina","Upper middle income","Verified","45,036,032","32,299,133","78,771","0%","21%","0%","200","81%","92%","8%","0%"
"Armenia","Upper middle income","Verified","2,805,608","2,136,130","55,347","2%","10%","0%","170","98%","94%","0%","0%"
"Australia","High income","Verified","25,670,051","20,025,014","234,020","1%","62%","15%","820","91%","94%","85%","0%"
"Austria","High income","Extrapolated","8,907,777","7,365,758","51,300","1%","20%","20%","200","0%","87%","0%","0%"
"Azerbaijan","Upper middle income","Polaris Estimate","10,284,951","7,385,941","178,951","2%","7%","0%","570","99%","97%","0%","0%"
"Bahrain","High income","Verified","1,477,469","1,128,492","13,660","1%","3%","0%","20","99%","99%","98%","25%"
"Bangladesh","Lower middle income","Verified","167,420,951","112,125,561","7,865,325","5%","0%","0%","23,400","0%","94%","0%","0%"
"Belarus","Upper middle income","Polaris Estimate","9,633,740","7,727,703","404,385","4%","5%","0%","1,200","98%","96%","47%","0%"
"Belgium","High income","Verified","11,561,717","9,237,966","64,414","1%","46%","3%","250","[object Object]","97%","62%","0%"
"Belize","Upper middle income","Verified","394,921","257,853","4,978","1%","9%","0%","10","0%","95%","0%","0%"
"Benin","Lower middle income","Polaris Estimate","12,643,123","6,425,767","905,000","8%","1%","0%","1,300","0%","63%","0%","0%"
"Bhutan","Lower middle income","Verified","772,506","547,378","12,100","2%","7%","0%","30","82%","98%","0%","0%"
"Bolivia","Lower middle income","Extrapolated","11,936,162","7,484,390","28,800","0%","11%","5%","60","0%","87%","0%","0%"
"Bosnia and Herzegovina","Upper middle income","Extrapolated","3,318,407","2,721,020","86,800","3%","4%","0%","290","99%","78%","0%","0%"
"Brazil","Upper middle income","Verified","213,196,304","159,259,825","760,325","0%","28%","12%","2,000","41%","89%","6%","8%"
"Bulgaria","Upper middle income","Verified","6,979,175","5,810,712","226,958","3%","13%","3%","930","96%","91%","3%","90%"
"Burkina Faso","Low income","Verified","21,522,626","10,515,591","1,129,739","6%","0%","0%","1,500","0%","91%","0%","0%"
"Burundi","Low income","Verified","12,220,227","5,715,260","294,129","3%","3%","4%","480","0%","94%","0%","0%"
"Côte d'Ivoire","Lower middle income","Verified","26,811,790","13,672,410","2,099,114","9%","4%","0%","3,500","0%","97%","0%","0%"
"Cambodia","Lower middle income","Verified","16,396,860","10,658,182","465,832","3%","6%","1%","1,200","83%","99%","0%","0%"
"Cameroon","Lower middle income","Verified","26,491,087","13,457,358","1,605,274","7%","2%","0%","2,900","0%","85%","0%","0%"
"Canada","High income","Verified","37,888,705","30,668,085","230,480","1%","58%","24%","860","3%","38%","92%","0%"
"Cape Verde","Lower middle income","Extrapolated","582,640","393,583","56,300","11%","1%","0%","80","96%","95%","0%","0%"
"Central African Republic","Low income","Polaris Estimate","5,343,020","2,361,215","555,743","12%","0%","0%","1,000","0%","54%","0%","0%"
"Chad","Low income","Polaris Estimate","16,644,701","7,580,392","1,515,951","11%","0%","0%","3,300","0%","78%","0%","0%"
"Chile","High income","Verified","19,300,315","14,981,552","25,546","0%","89%","1%","70","0%","95%","3%","0%"
"China Mainland","Upper middle income","Verified","1,424,929,781","1,120,581,001","86,007,238","6%","19%","11%","401,000","96%","99%","95%","26%"
"Colombia","Upper middle income","Verified","50,930,662","37,315,877","129,865","0%","44%","1%","1,300","84%","91%","0%","0%"
"Comoros","Lower middle income","Extrapolated","806,166","447,750","40,300","5%","5%","0%","60","0%","91%","0%","0%"
"Congo, Republic of the","Lower middle income","Polaris Estimate","5,702,174","2,970,260","262,000","5%","0%","0%","490","0%","73%","0%","0%"
"Costa Rica","Upper middle income","Verified","5,123,105","3,831,976","9,473","0%","14%","1%","30","91%","97%","0%","0%"
"Croatia","High income","Verified","4,096,869","3,398,874","23,594","1%","38%","7%","80","[object Object]","92%","93%","90%"
"Cuba","Upper middle income","Verified","11,300,698","9,126,088","70,945","1%","52%","1%","290","99%","99%","75%","43%"
"Czechia","High income","Verified","10,530,953","8,558,176","44,555","0%","21%","14%","110","[object Object]","96%","98%","99%"
"Denmark","High income","Verified","5,825,641","4,673,906","14,561","0%","56%","21%","30","[object Object]","[object Object]","36%","48%"
"Djibouti","Lower middle income","Polaris Estimate","1,090,156","681,079","59,300","6%","5%","0%","80","90%","68%","0%","0%"
"Dominican Republic","Upper middle income","Polaris Estimate","10,999,664","7,373,435","178,885","2%","9%","1%","650","81%","80%","0%","0%"
"DRC","Low income","Polaris Estimate","92,853,164","43,717,520","2,491,000","3%","1%","1%","4,100","0%","92%","0%","0%"
"Ecuador","Upper middle income","Verified","17,588,595","11,991,459","42,800","0%","17%","2%","100","47%","83%","20%","0%"
"Egypt","Lower middle income","Verified","107,465,134","65,994,767","996,173","1%","3%","1%","2,800","13%","94%","0%","0%"
"El Salvador","Lower middle income","Verified","6,292,731","4,300,259","65,108","1%","5%","1%","280","81%","93%","0%","0%"
"Eritrea","Low income","Polaris Estimate","3,555,868","1,854,932","185,000","6%","5%","0%","270","0%","95%","0%","0%"
"Estonia","High income","Verified","1,329,444","1,071,417","6,555","1%","5%","2%","20","93%","93%","91%","0%"
"Eswatini","Lower middle income","Extrapolated","1,180,655","687,724","107,000","10%","4%","3%","190","0%","90%","0%","0%"
"Ethiopia","Low income","Verified","117,190,911","61,857,286","7,881,778","8%","10%","0%","9,600","0%","96%","0%","0%"
"Fiji","Upper middle income","Verified","920,422","603,730","17,546","2%","2%","0%","110","95%","93%","0%","0%"
"Finland","High income","Verified","5,529,468","4,484,144","10,604","0%","66%","94%","20","[object Object]","[object Object]","95%","60%"
"France","High income","Verified","64,480,053","50,820,214","352,627","1%","20%","19%","410","[object Object]","90%","80%","27%"
"Gabon","Upper middle income","Polaris Estimate","2,292,573","1,326,615","101,425","5%","2%","1%","240","0%","75%","0%","0%"
"Gambia","Low income","Polaris Estimate","2,573,995","1,267,718","97,967","5%","0%","0%","90","1%","95%","0%","0%"
"Georgia","Upper middle income","Polaris Estimate","3,765,912","2,853,169","99,563","3%","16%","0%","260","94%","92%","66%","0%"
"Germany","High income","Verified","83,328,988","69,590,837","240,737","0%","28%","29%","1,200","[object Object]","88%","96%","10%"
"Ghana","Lower middle income","Verified","32,180,401","18,077,097","2,896,923","10%","1%","0%","3,300","0%","93%","0%","0%"
"Greece","High income","Verified","10,512,232","8,697,117","199,830","2%","42%","51%","470","2%","96%","86%","40%"
"Guatemala","Upper middle income","Verified","17,362,718","10,414,756","99,929","1%","9%","5%","290","38%","80%","6%","0%"
"Guinea","Low income","Extrapolated","13,205,153","6,764,673","1,371,000","12%","1%","0%","1,700","0%","66%","0%","0%"
"Guinea-Bissau","Low income","Polaris Estimate","2,015,828","1,053,877","197,000","11%","1%","0%","240","0%","68%","0%","0%"
"Guyana","Upper middle income","Polaris Estimate","797,202","523,045","20,900","3%","9%","1%","60","3%","97%","0%","0%"
"Haiti","Lower middle income","Polaris Estimate","11,306,801","6,927,107","312,509","3%","3%","0%","850","0%","70%","0%","0%"
"Honduras","Lower middle income","Extrapolated","10,121,763","6,333,101","27,100","0%","9%","5%","70","83%","99%","0%","0%"
"Hong Kong","High income","Verified","7,500,958","6,424,681","470,749","6%","27%","22%","2,100","99%","99%","98%","5%"
"Hungary","High income","Polaris Estimate","9,750,573","8,042,598","39,908","0%","4%","3%","130","[object Object]","[object Object]","13%","0%"
"India","Lower middle income","Verified","1,396,387,127","954,497,464","32,703,409","3%","2%","0%","81,900","47%","88%","2%","0%"
"Indonesia","Lower middle income","Verified","271,857,970","188,646,195","17,695,307","7%","2%","0%","51,100","57%","85%","0%","0%"
"Iran","Lower middle income","Verified","87,290,193","62,941,063","1,400,393","2%","24%","5%","5,200","95%","99%","47%","10%"
"Iraq","Upper middle income","Verified","42,556,984","23,480,228","1,302,090","4%","1%","0%","2,800","47%","73%","17%","0%"
"Ireland","High income","Polaris Estimate","4,946,119","3,753,640","4,475","0%","54%","5%","20","[object Object]","95%","86%","0%"
