"Region","World Bank Classification","HBV Status","Total Population (2020)","Adult Population (2020)","Diagnosed","Treated","Mortality (absolute)","Prevalence ≤5-year-olds","Birth Dose Vaccination","3 Dose Vaccination"
"Afghanistan","Low income","Polaris Estimate","38,972,230","19,076,439","11%","8%","300%","0.3%","45%","87%"
"Albania","Upper middle income","Verified","2,866,849","2,279,895","4%","<1%","2300%","0.2%","99%","99%"
"Algeria","Lower middle income","Polaris Estimate","43,451,666","28,265,156","8%","<1%","400%","0.1%","99%","95%"
"Angola","Lower middle income","Polaris Estimate","33,428,486","16,132,426","2%","<1%","1700%","3.0%","<1%","79%"
"Argentina","Upper middle income","Verified","45,036,032","32,299,133","38%","10%","<1%","0.0%","77%","83%"
"Armenia","Upper middle income","Verified","2,805,608","2,136,130","13%","<1%","600%","0.1%","96%","92%"
"Australia","High income","Verified","25,670,051","20,025,014","74%","31%","300%","0.1%","91%","95%"
"Austria","High income","Extrapolated","8,907,777","7,365,758","31%","30%","200%","0.0%","<1%","85%"
"Azerbaijan","Upper middle income","Polaris Estimate","10,284,951","7,385,941","5%","4%","500%","0.2%","99%","95%"
"Bahrain","High income","Verified","1,477,469","1,128,492","4%","8%","100%","0.0%","98%","99%"
"Bangladesh","Lower middle income","Verified","167,420,951","112,125,561","<1%","<1%","1500%","0.6%","<1%","93%"
"Belarus","Upper middle income","Polaris Estimate","9,633,740","7,727,703","5%","<1%","1400%","0.2%","98%","97%"
"Belgium","High income","Verified","11,561,717","9,237,966","46%","9%","200%","0.0%","<1%","97%"
"Belize","Upper middle income","Verified","394,921","257,853","9%","<1%","400%","0.1%","70%","98%"
"Benin","Lower middle income","Polaris Estimate","12,643,123","6,425,767","<1%","<1%","900%","1.5%","<1%","82%"
"Bhutan","Lower middle income","Verified","772,506","547,378","9%","3%","400%","0.1%","86%","97%"
"Bolivia","Lower middle income","Extrapolated","11,936,162","7,484,390","13%","5%","<1%","0.0%","<1%","75%"
"Bosnia and Herzegovina","Upper middle income","Extrapolated","3,318,407","2,721,020","4%","3%","900%","0.4%","90%","80%"
"Brazil","Upper middle income","Verified","213,196,304","159,259,825","33%","15%","100%","0.0%","34%","72%"
"Bulgaria","Upper middle income","Verified","6,979,175","5,810,712","16%","5%","1400%","0.1%","98%","93%"
"Burkina Faso","Low income","Verified","21,522,626","10,515,591","<1%","<1%","800%","0.9%","<1%","91%"
"Burundi","Low income","Verified","12,220,227","5,715,260","4%","<1%","400%","0.5%","<1%","93%"
"Côte d'Ivoire","Lower middle income","Verified","26,811,790","13,672,410","1%","<1%","1400%","0.9%","9%","94%"
"Cambodia","Lower middle income","Verified","16,396,860","10,658,182","5%","1%","700%","0.4%","88%","92%"
